restaurantName,cuisine,userName,userEmail,role,rating,comment
Kessler - Hirthe,Asian,Laurence_Larin,Jaquan.McLaughlin@hotmail.com,ADMIN,4,Voluntarius caste a blanditiis non cubicularis coniuratio adsuesco exercitationem eveniet.
Konopelski Inc,Asian,Helga_Armstrong,Shawn_Leuschke72@hotmail.com,ADMIN,1,Pax nihil caste deorsum.
Pagac - Rosenbaum,Italian,Pam.Mueller,Irene_Wuckert66@hotmail.com,OWNER,2,Vorago volaticus beneficium repellat culpo trans.
Boehm and Sons,Italian,Irma_Streich,Annette_Shields19@gmail.com,OWNER,4,Caveo trans voluptate carus cunctatio minima vitae adsuesco.
Beatty and Sons,Italian,Davonte83,Billy.Murphy@gmail.com,ADMIN,4,Cribro cernuus expedita uberrime depulso aliquid terminatio cogo molestias.
Wiegand LLC,Ukrainian,Ginger_Kertzmann80,Felicia96@gmail.com,ADMIN,5,Error custodia validus paens triumphus combibo.
Gleichner Labadie and Mosciski,Asian,Phyllis.Bernier,Arlene96@hotmail.com,OWNER,3,Tendo amplexus thorax caelum.
Ebert - Pfeffer,Asian,Queenie.Feest,Michale_Shanahan1@yahoo.com,OWNER,1,Laborum ambitus adsidue.
Roob Abshire and Hirthe,Italian,Jean_Sipes17,Kendall.Schroeder36@yahoo.com,VISITOR,3,Cribro stipes deporto arca surculus.
Nader Group,Asian,Andy_Mann,Nat_Swift73@hotmail.com,OWNER,5,Administratio admoveo verto veniam velociter comparo trepide aiunt sonitus cado.
Howell - Kovacek,Asian,Bernard_McClure41,Hilton_Robel@yahoo.com,OWNER,1,Aperio ventosus tonsor cunctatio velociter uxor aduro repudiandae trepide.
Johnston Group,Ukrainian,Bethany.Windler,Caroline34@hotmail.com,ADMIN,4,Avarus provident ambitus cometes testimonium adflicto derelinquo alias campana.
Nicolas Group,Italian,Russell.Bailey57,Ryan_Will@gmail.com,OWNER,3,Baiulus adulescens cometes terror.
Oberbrunner Schmitt and Emmerich,Ukrainian,Lucia85,Domingo.Marvin@hotmail.com,OWNER,4,Despecto tabesco carpo valde.
Bartoletti Leannon and Wolff,Italian,Angelica_Koepp,Alexandro60@yahoo.com,OWNER,3,Dapifer concedo candidus clam architecto.
Zboncak Beier and Flatley,Italian,Wm_Gislason,Earnestine.Brown47@yahoo.com,ADMIN,4,Caelum dolore vergo stillicidium credo utrum accusamus carus cohaero officiis.
Luettgen Inc,Asian,Cordia21,Dana.McClure38@yahoo.com,VISITOR,5,Verto temperantia acquiro.
Jacobson Inc,Italian,Hiram.Zulauf67,Latoya_Bradtke@yahoo.com,OWNER,3,Eum admoneo apto amaritudo.
Bechtelar Inc,Ukrainian,Garry_Howell,Jimmy_Lueilwitz42@yahoo.com,OWNER,1,Tergum adamo solum placeat adipiscor.
Glover - Walter,Italian,Deborah.Maggio35,Mikel82@gmail.com,ADMIN,4,Stipes degenero admoveo.
Anderson Maggio and Christiansen,Ukrainian,Stacy58,Paolo85@hotmail.com,ADMIN,4,Aperiam cultellus adduco currus sublime triduana spiculum via.
Carroll Lubowitz and Parker,Asian,Laurie_Medhurst,Guadalupe.Huel@yahoo.com,OWNER,1,Acies totidem tabula tamisium.
Greenfelder and Sons,Italian,Sandy24,Marisol96@hotmail.com,VISITOR,3,Tempore desidero tardus stultus canis consequatur patior attollo.
Kiehn Bartell and Ferry,Asian,Woodrow44,Elena5@hotmail.com,OWNER,1,Tolero sui voco triumphus una coepi curvo coerceo vulgivagus.
Buckridge - Douglas,Italian,Tobin_Bernier,Vaughn_Murray@gmail.com,ADMIN,1,Vobis depereo ipsam crastinus corrigo verto.
Bahringer LLC,Asian,Jayson_Heller,Rene5@gmail.com,OWNER,5,Defleo aduro odit reprehenderit abundans crux pel atrox allatus utrimque.
Ryan LLC,Asian,Virginia.Ziemann0,Dawn.McGlynn@yahoo.com,OWNER,2,Cresco tamdiu ab desparatus demens agnosco vinculum curvo.
Feest Inc,Italian,Emma46,Bethany12@gmail.com,VISITOR,4,Comburo placeat sol deficio administratio versus terreo cenaculum vereor adinventitias.
Cassin and Sons,Italian,Krystel.Reichel27,Baron.Rutherford@gmail.com,OWNER,3,Capio rerum conservo ab deripio.
O'Connell Group,Ukrainian,Arthur_Heathcote-Johnston,Daniella_Reynolds79@yahoo.com,OWNER,2,Adficio theca utilis ager delectatio thema crinis.
Murray - Harvey,Ukrainian,Adalberto79,Jakob77@hotmail.com,ADMIN,1,Volo ter vomica arceo.
Schinner - Gerlach,Italian,Santiago_Bosco,Jason82@yahoo.com,ADMIN,1,Ad crinis vehemens cedo carus architecto cumque sint.
O'Conner Inc,Asian,Belinda.Satterfield97,Norma46@yahoo.com,VISITOR,3,Cognomen conspergo pariatur facilis aggredior decerno adamo spiritus communis.
Gutmann - Abshire,Italian,Aryanna14,Dwayne.Beahan30@yahoo.com,OWNER,1,Comis colo explicabo provident delinquo.
Steuber Group,Asian,Maxime1,Abraham.Nienow46@hotmail.com,OWNER,4,Crur voluptas decimus eum inventore venia territo in vivo.
Hahn - Howe,Asian,Alan2,Nellie_Beahan@gmail.com,ADMIN,3,Atavus deprecator voluptatum ars tamisium dens quos decimus vis.
Brekke Zemlak and Friesen,Italian,Kali_Jast,Myra_Bechtelar89@gmail.com,VISITOR,1,Compono accedo umbra ait arto decipio adinventitias vulnero umquam.
Raynor - Nitzsche,Asian,Leah_Walker,Rigoberto40@hotmail.com,VISITOR,1,Confido talio praesentium vox.
Leannon Hintz and Heidenreich,Ukrainian,Kristine_Kassulke50,Benjamin11@gmail.com,OWNER,4,Attero universe explicabo ipsa repudiandae curtus.
Yost - Batz,Italian,Burnice.Moen,Meghan38@hotmail.com,ADMIN,5,Damno centum animadverto tabella.
Jakubowski and Sons,Asian,Coty_Corwin,Teresa.Kunde@gmail.com,ADMIN,1,Clementia voco cedo currus fugit agnitio deserunt ademptio concido sustineo.
Harber - Larkin,Ukrainian,Kayleigh.Murray20,Issac26@gmail.com,ADMIN,3,Carcer cultura natus undique delinquo defendo compono strenuus trans.
Heidenreich Hilpert and Heaney,Italian,Darrick53,Zoie.McCullough58@yahoo.com,ADMIN,1,Templum apud sub sono angelus.
Hamill and Sons,Ukrainian,Aditya.Bailey,Adah.Homenick35@yahoo.com,ADMIN,4,Cognatus vigilo vester votum tunc benigne quos.
Gibson - Rau,Ukrainian,Roberto75,Holly.Bogan@hotmail.com,ADMIN,1,Somniculosus accendo numquam contra vesper cognatus ago degenero supellex allatus.
Morar LLC,Ukrainian,Claudia_Turcotte65,Consuelo_Breitenberg39@hotmail.com,OWNER,3,Accusator somnus delibero viriliter depopulo cognomen ventus temporibus cumque.
Walsh Muller and Mosciski,Ukrainian,Morgan20,Rosalyn46@yahoo.com,OWNER,4,Tametsi spectaculum a valeo usitas sumo spes tersus auctor.
Hills and Sons,Italian,Leigh_Kovacek,Hazel17@yahoo.com,VISITOR,1,Cilicium ustilo animadverto.
Zemlak - O'Connell,Italian,Otilia28,Charles_Lakin13@hotmail.com,ADMIN,2,Arx sublime beneficium qui inflammatio aestus casso communis.
Luettgen - Borer,Italian,Aleen_Morissette85,Fannie_Mohr41@hotmail.com,ADMIN,1,Cresco adopto canis.
Kshlerin - Kiehn,Asian,Deborah.Cummings,Merl.Mann97@gmail.com,ADMIN,5,Aurum pauci spiculum dolorem.
Dooley Group,Italian,Norene.Gislason18,Leila92@hotmail.com,VISITOR,2,Delectus vita tertius.
O'Kon and Sons,Asian,Carolyne43,Torrey.Luettgen@yahoo.com,ADMIN,1,Tricesimus amet utpote explicabo degero.
Stroman Romaguera and Runolfsson,Ukrainian,Courtney.Harber,Priscilla_Renner72@hotmail.com,ADMIN,5,Cresco molestiae quod caecus venustas turbo alii vindico.
Jenkins - Flatley,Asian,Vallie42,Jennie10@hotmail.com,OWNER,4,Repellat teneo nihil.
Kohler Hessel and Littel,Ukrainian,Marlee17,Glenda22@hotmail.com,OWNER,4,Adhaero turpis dolor defungo minus surgo comburo ullam volva.
Nicolas Smitham and Fritsch,Italian,Shana.Hoeger-Okuneva,Cory.Krajcik@yahoo.com,OWNER,3,Venio somniculosus sortitus clamo toties bene.
Parker - Moore,Italian,Thea71,Ally46@yahoo.com,OWNER,1,Anser admitto quasi qui demo harum.
Bradtke Kulas and Farrell,Asian,Garrick_Cremin,Angelica.Kuhn@yahoo.com,VISITOR,4,Conduco strues amitto ver earum appono animadverto.
Veum - Bruen,Asian,Lance.Braun,Demetrius_Rohan@gmail.com,ADMIN,1,Amor ventus admoneo advenio pauci territo molestiae abundans eligendi.
Rohan Inc,Asian,Benjamin_MacGyver81,Ed83@hotmail.com,ADMIN,4,Perspiciatis caries suffoco unus curto.
Bogisich Macejkovic and Lueilwitz,Italian,Patricia36,Blake_Ruecker51@hotmail.com,ADMIN,4,Absorbeo corrupti usque arceo nemo debitis congregatio argentum possimus cunctatio.
Mayer LLC,Ukrainian,Lenora_Cormier,Shemar_Donnelly@gmail.com,VISITOR,1,Defendo civis conventus iste amita.
Pagac Bahringer and Gibson,Asian,Samanta_Murazik1,Marcia.Stoltenberg81@yahoo.com,ADMIN,4,Bos tertius creator validus eum.
Rippin Group,Asian,Alma99,Mildred_Hammes19@gmail.com,VISITOR,2,Derelinquo pecco labore acies anser quae commodi caritas validus.
Wiza Inc,Italian,Julius.Hessel28,Rudy91@hotmail.com,OWNER,2,Solium comburo unus eligendi.
Kris - Beatty,Asian,Natasha99,Matilda.Conn@gmail.com,ADMIN,4,Attonbitus vero cursim.
Block Swift and Gibson,Ukrainian,Lindsay.Oberbrunner,Velda49@hotmail.com,OWNER,2,Videlicet perferendis tenetur alius addo cibo adulescens arcesso atqui alienus.
Corkery - Brakus,Ukrainian,Bill_Bailey22,Jayde23@yahoo.com,OWNER,5,Corroboro tutamen cunabula tenax sol depono.
Morissette and Sons,Italian,Kathryn_Marvin95,Donnie_Ortiz82@hotmail.com,ADMIN,4,Turba balbus textus credo tener tergum dolore.
Roberts Raynor and Welch,Asian,Carlo_Pfeffer,Belinda23@yahoo.com,OWNER,3,Apostolus thalassinus fuga.
Graham Inc,Ukrainian,Ginger_Schiller,Nettie_Wilderman@hotmail.com,OWNER,4,Solio fuga thesis curto pecto aeternus amicitia uredo sui.
Ritchie Legros and Lueilwitz,Asian,Gussie.Torphy,Traci_Johns19@hotmail.com,ADMIN,2,Desparatus tempora convoco ventosus earum succedo.
Cormier - McClure,Asian,Kim_Champlin,Antonio_Olson98@yahoo.com,OWNER,3,Cilicium cresco concido tricesimus amet careo dens tantillus.
Quitzon and Sons,Asian,Clifford.DAmore,Constance.Swaniawski34@gmail.com,OWNER,1,Sursum thema curiositas conculco curvo.
Bode Hintz and Stamm,Italian,Perry12,Traci8@hotmail.com,VISITOR,2,Tredecim sonitus culpo.
Dickens LLC,Asian,Todd.Rath89,Johnny_Abernathy22@gmail.com,OWNER,4,Adversus est eum demens deduco.
Frami - Goodwin,Italian,Spencer.Davis,Clement51@gmail.com,OWNER,5,Ver pauper somniculosus vita tardus atqui sublime.
Bashirian LLC,Ukrainian,Johnnie_Lakin,Whitney_Quitzon91@yahoo.com,ADMIN,1,Molestias totus tego absorbeo aequus adopto stella recusandae vetus.
O'Reilly Skiles and Wiza,Ukrainian,Jeanette47,Lenora.McGlynn@yahoo.com,ADMIN,3,Summopere tempora cur cultura aggero statim constans tenax texo.
McDermott - Lynch,Asian,Cynthia_Bode80,Travis75@hotmail.com,OWNER,1,Culpa armarium crux pauci aureus decens subito arguo taceo.
Altenwerth and Sons,Asian,Jordan2,Priscilla34@gmail.com,OWNER,5,Dapifer adaugeo currus magnam.
Towne - Mante,Ukrainian,Kenny_Spinka-Bosco82,Alexandra.Altenwerth-Dickens81@yahoo.com,VISITOR,5,Ancilla umquam tandem inventore.
Shields Inc,Ukrainian,Joan_Nienow21,Margot.Cormier1@yahoo.com,VISITOR,5,Aegrus vos ceno sto cruciamentum voluntarius tabella desparatus allatus bellum.
Corwin - Auer,Italian,Rosalie_Skiles3,Audrey84@yahoo.com,ADMIN,3,Compono caries corrigo aspernatur.
Durgan - Harvey,Asian,Glenn.Veum,Floyd_Anderson@yahoo.com,ADMIN,1,Error omnis vel validus succurro desolo.
Lebsack Wiegand and Beier,Italian,Camryn_Bins,Walker.Pacocha97@yahoo.com,ADMIN,2,Considero ater ars vitiosus bardus tunc tutamen deleniti.
Bailey Rogahn and Leannon,Italian,Paul16,Perry_Wilderman73@hotmail.com,ADMIN,1,Damno qui utrum aureus ambulo nobis.
Kuhlman LLC,Italian,Lynn.Cronin,Vernie89@hotmail.com,OWNER,1,Esse depereo testimonium sapiente patrocinor anser aperiam antepono.
Cassin - Bauch,Ukrainian,Russell57,Terry.Hackett14@yahoo.com,OWNER,4,Tabesco tyrannus tam in.
Moen Inc,Italian,Norma_Champlin65,Allan59@hotmail.com,VISITOR,1,Complectus venio correptius colo alo.
Borer Moen and Mann,Italian,Ed81,Gina.Robel9@yahoo.com,VISITOR,2,Aegrotatio crudelis ater caput enim comprehendo carmen abutor.
Weissnat Wilkinson and Monahan,Ukrainian,Terri13,Lucas_Cummings@yahoo.com,VISITOR,2,Ad clarus quis cito vicissitudo abundans cur vulariter conor tabgo.
Hermann Group,Italian,Hans30,Gail60@gmail.com,OWNER,2,Utor acer conventus tabgo tenuis neque.
Crist - Schneider,Asian,Torey_Gleason,Brittany.Crooks@gmail.com,ADMIN,1,Creator sol depraedor callide antiquus volva cursim celer atque.
Mayer Inc,Asian,Queenie42,Sharon27@gmail.com,ADMIN,2,Laborum arx assumenda defero.
Rosenbaum Huels and Lehner,Italian,Shannon58,Gwendolyn.Stehr94@yahoo.com,VISITOR,5,Consequatur voveo capillus vitium antepono aduro.
Ryan Osinski and Schaefer,Ukrainian,Keshaun73,Seth_Kutch11@hotmail.com,ADMIN,2,Ultra capio corpus voro minus censura congregatio claro.
Gulgowski - Crist,Ukrainian,Malcolm.Pfeffer44,Muriel.Graham33@hotmail.com,ADMIN,3,Capitulus animadverto cupio degenero votum conservo conculco solum porro.
Lemke Flatley and Hyatt,Asian,Kaylin52,Annie_Friesen@yahoo.com,OWNER,2,Porro atrocitas spes ullam cetera ascit bene beatae cerno.
Brakus Sawayn and Ernser,Ukrainian,Abraham.Brakus54,Elliott54@gmail.com,OWNER,5,Vesco comedo sapiente tollo.
Hackett Inc,Italian,Reilly70,Jonathon.Hodkiewicz32@yahoo.com,VISITOR,3,Catena ex supellex sordeo corrupti.
Nicolas - Stoltenberg,Italian,Erma.King52,Cordell.Jast@yahoo.com,OWNER,4,Sursum aspernatur qui necessitatibus tutamen tredecim.
Moen Pouros and Homenick,Ukrainian,Perry.Becker3,Sally_Kshlerin13@gmail.com,OWNER,2,At conatus depromo absum casus sapiente arcus adfectus tamisium.
Denesik - Kautzer,Italian,Kenneth_Windler55,Melvin_Weissnat@yahoo.com,ADMIN,3,Tenax molestias mollitia clamo ventosus.
Hilpert and Sons,Asian,Lucy_Feest,Juana17@hotmail.com,ADMIN,1,Coma tabula cimentarius articulus sequi desidero adsum tendo.
Padberg and Sons,Asian,Hilda_Johnson,Julio.Padberg@gmail.com,VISITOR,5,Accedo trado ratione celer coepi vitae conscendo tremo veritas.
Adams - Schamberger,Ukrainian,Addie.Ruecker55,Timmy98@hotmail.com,VISITOR,2,Textilis vix ubi sono quos vulariter harum vicissitudo.
Littel Stiedemann and Hoeger,Asian,Maryann9,Karen.Howe99@hotmail.com,ADMIN,5,Amet denuo conscendo.
Batz Inc,Italian,Alvera_Trantow,Gerald12@hotmail.com,OWNER,4,Arguo modi termes apostolus timor beneficium.
Auer - Volkman,Asian,Ella16,James.Kilback-Goodwin@yahoo.com,OWNER,3,Acerbitas aperio demo volva comptus.
Trantow Nicolas and Lebsack,Italian,Marcus_Thompson2,Elwin_Thiel@gmail.com,ADMIN,2,Combibo dolor vilicus vomer bis umerus nam vesica architecto accommodo.
Weber - Hamill,Asian,Jeannie82,Ginger_Reichel84@hotmail.com,ADMIN,3,Cursim quae absorbeo cognomen.
Hand - Crooks,Ukrainian,Celia31,Asa.Stehr30@gmail.com,VISITOR,5,Pectus tonsor admiratio conitor.
Wilkinson Inc,Ukrainian,Jackie40,Clifford84@yahoo.com,ADMIN,4,Arca annus comptus abscido cotidie vereor.
Toy Strosin and Wolf,Ukrainian,Myrtle.Barrows12,Jackie92@hotmail.com,VISITOR,5,Barba adipiscor suus contigo caterva.
Zulauf Trantow and Roberts,Italian,Rudy80,Rosemarie_Ruecker@hotmail.com,VISITOR,5,Inflammatio uterque cumque laboriosam congregatio curis custodia at vivo.
McCullough Emmerich and Morissette,Asian,Angela.Jast,Mose23@hotmail.com,OWNER,3,Verecundia ultra consuasor.
Denesik Bergstrom and Beier,Ukrainian,Marilyne.Lebsack39,Franco54@yahoo.com,ADMIN,3,Reiciendis super tero conitor incidunt bos molestias.
Tillman - Rau,Italian,Kristina98,Ramon.Hodkiewicz@gmail.com,VISITOR,1,Culpa tero deleniti.
Pfeffer Inc,Ukrainian,Hector.Schuster-Brown12,Carol.Ledner@gmail.com,ADMIN,4,Subseco soluta umbra adsum adflicto.
Jacobs - Fadel,Ukrainian,Melvina.Schiller5,Piper_Vandervort@hotmail.com,VISITOR,1,Amita caecus facere.
